#class description
0x00 	"Legacy"
0x01 	"Mass Storage Controller"
0x02 	"Network Controller"
0x03 	"Display Controller"
0x04 	"Multimedia Controller"
0x05 	"Memory Controller"
0x06 	"Bridge Device"
0x07 	"Simple Communication Controller"
0x08 	"Base System Peripheral"
0x09 	"Input Device"
0x0A 	"Docking Station"
0x0B 	"Processor"
0x0C 	"Serial Bus Controller"
0x0D 	"Wireless Controller"
0x0E 	"Intelligent I/O Controller"
0x0F 	"Satellite Communication Controller"
0x10 	"Encryption/Decryption Controller"
0x11 	"Data Acquisition and Signal Processing Controller"
0xFF 	"Undefined"
